Data	   Horas Trabalhadas,	 Tipo Tarefa,	 		Descrição da Tarefa Realizada
20/03/18   1			 Estudar 	 		Ler sobre algoritmo de resolução do cubo mágico
23/03/18   3:30                  Estudo em grupo                Ler algoritmo e começar a fazer o pseudo código  
26/03/18   1                     Estudo                         Aprender a fazer a intalação do arcabouço
27/03/18   2                     Estudo em grupo                Como fazer testes usando script
28/03/18   1                     Estudo                         Ver vídeo sobre testes e aplicar no trabalho         
30/03/18   2                     Revisão de Código              Começar a fazer um script                             
31/03/18   2                     Revisão de código              Erro encontrado ao criar arvore
1/04/18    4                     Programar                      Revisão do código da árvore e elaboração do script de teste




